metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-06-09,1,False,False,48.74399948120117,EUR/MWh,64.83691328560064,-2.1715584790730214,3.664756387345647,10.422938546502136,,,
EU Storage,2026-06-08,2,False,False,42.79,% full,18.64406779661017,0.7297551789077206,3.4919699425371986,16.530501089324613,,,
EUA Carbon,2026-06-08,2,False,False,32.52000045776367,EUR/tCO2,34.05103668261563,0.030766338809207205,-1.3491088836699028,3.1071639625535497,,,
DE Power,2026-06-10,0,False,False,129.9,EUR/MWh,73.12534209085933,34.76428126808706,-10.515385005123312,19.28580037535084,,,
GB Power,2026-06-10,0,False,False,113.96069316864015,EUR/MWh,78.14207650273224,0.6674839940062904,-7.637882399200613,-12.058814446823618,,,
Renewables,2026-06-09,1,False,False,55.44902121094191,% of load,76.98630136986301,38.97190049691337,4.297902138162679,70.22066302576815,,,
Clean Spark,2026-06-10,0,False,False,20.44464086914063,EUR/MWh,79.584017515052,,,,33.50947368421053,-11.69096145640591,22.17251434326173
Clean Dark,2025-12-31,161,True,False,27.94567483372639,EUR/MWh,49.039615846338535,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,166,True,True,96.0,USD/t,6.993006993006993,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
