metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-09-15,1,False,False,80.05999755859375,EUR/MWh,77.46815286624204,-3.0351528184340726,10.39361478638854,30.339928752653478,,,
EU Storage,2026-09-14,2,False,False,68.49,% full,51.39420448332422,0.278184480234267,1.4187356561652376,8.233249051833113,,,
EUA Carbon,2026-09-15,1,False,False,34.099998474121094,EUR/tCO2,47.687400318979265,-3.2349692112594197,-0.20301196877833272,-0.7278020701757759,,,
DE Power,2026-09-16,0,False,False,181.74,EUR/MWh,84.72070098576123,1.1620691897858748,27.669198415847475,28.504761006882262,,,
GB Power,2026-09-16,0,False,False,147.43691744923592,EUR/MWh,89.07103825136612,-15.439984930726492,0.024729031958159453,-14.425380932804643,,,
Renewables,2026-09-15,1,False,False,41.201177712396564,% of load,43.15068493150685,72.11604069859771,-32.78793072691618,-27.08894226592704,,,
Clean Spark,2026-09-16,0,False,False,9.071205444335947,EUR/MWh,63.14348302300109,,,,2.087684210526305,36.94333489963465,13.718933369954454
Clean Dark,2025-12-31,259,True,False,27.94567483372639,EUR/MWh,46.93877551020408,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,264,True,True,96.0,USD/t,7.434944237918216,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
