metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct
TTF Gas,2026-08-31,1,False,False,69.80899810791016,EUR/MWh,74.20382165605095,4.225207883613202,3.2434209565513683,18.178123136112447
EU Storage,2026-08-30,2,False,False,65.09,% full,45.92673592126845,0.5406240345999569,2.328610458097713,10.135363790186137
EUA Carbon,2026-08-31,1,False,False,34.79999923706055,EUR/tCO2,50.717703349282296,-0.057439569037809335,0.5141190311346744,3.111108850549771
GB Power,2026-09-01,0,False,False,165.9106423552831,EUR/MWh,96.72131147540983,7.182106552722356,0.2571419845835754,6.485658168316166
Coal,2025-12-26,249,True,True,96.0,USD/t,7.366482504604052,-0.5696561723182669,0.08297926010716328,-0.10405668648165722
