metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-09-10,1,False,False,82.0469970703125,EUR/MWh,77.94585987261146,3.5345566910421677,8.599370767190774,39.69012721156317,,,
EU Storage,2026-09-09,2,False,False,67.64,% full,50.08201202843083,0.46041883261547234,1.9193974549761572,9.43213072318394,,,
EUA Carbon,2026-09-10,1,False,False,35.0099983215332,EUR/tCO2,52.07336523125997,0.057149591618088635,0.3876458218884604,2.2189732015567953,,,
DE Power,2026-09-11,0,False,False,183.77,EUR/MWh,85.22167487684729,-4.298158722919288,53.246729205973665,8.379182649422901,,,
GB Power,2026-09-11,0,False,False,166.69738193353015,EUR/MWh,96.17486338797814,-1.267901721193021,41.59875290585573,4.243454814654801,,,
Renewables,2026-09-10,1,False,False,41.44146385470648,% of load,43.15068493150685,-25.313841770730882,-25.725200983273844,-11.399279135546935,,,
Clean Spark,2026-09-11,0,False,False,6.792326477050791,EUR/MWh,60.54794520547945,,,,-8.253473684210519,58.551137992457335,-18.31064107259114
Clean Dark,2025-12-31,254,True,False,27.94567483372639,EUR/MWh,46.84914067472947,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,259,True,True,96.0,USD/t,7.414272474513438,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
