metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-06-23,1,False,False,42.013999938964844,EUR/MWh,50.63694267515923,0.30319406551257977,-12.450408356832398,-14.965189575580196,,,
EU Storage,2026-06-22,2,False,False,46.97,% full,21.869874248223073,0.5351027397260344,3.1386147417088894,15.23552502453387,,,
EUA Carbon,2026-06-23,1,False,False,33.290000915527344,EUR/tCO2,39.23444976076555,-1.7124240763155774,2.331979836143949,4.455601000630849,,,
DE Power,2026-06-24,0,False,False,214.52,EUR/MWh,88.94362342638205,22.491568689560104,23.71075364442006,109.01082305562548,,,
GB Power,2026-06-24,0,False,False,162.8085821580887,EUR/MWh,99.18032786885246,-19.68753634757048,23.698378566063184,44.62213436483617,,,
Renewables,2026-06-23,1,False,False,36.89449945804639,% of load,38.49315068493151,-14.859700592376935,-16.246643182887542,-12.162137525154225,,,
Clean Spark,2026-06-24,0,False,False,118.24127978515627,EUR/MWh,99.39792008757526,,,,39.38957894736845,26.3246743594521,125.58637180582683
Clean Dark,2025-12-31,175,True,False,27.94567483372639,EUR/MWh,48.6682808716707,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,180,True,True,96.0,USD/t,7.054673721340388,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
