metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-09-14,1,False,False,82.56600189208984,EUR/MWh,78.10509554140127,3.83048965997288,11.072467986400936,36.69867517588343,,,
EU Storage,2026-09-13,2,False,False,68.26,% full,51.066156369600876,0.3233392122280909,1.471555901178423,8.366407366248607,,,
EUA Carbon,2026-09-14,1,False,False,35.2400016784668,EUR/tCO2,53.110047846889955,1.614767498163605,0.336289858320038,2.561120641686254,,,
DE Power,2026-09-15,0,False,False,219.74,EUR/MWh,89.37568455640745,-14.481136346039381,68.2656065425175,53.467359056921396,,,
GB Power,2026-09-15,0,False,False,204.90238492091498,EUR/MWh,99.4535519125683,-2.146703806870931,20.4479008991326,30.659795782398547,,,
Renewables,2026-09-14,1,False,False,23.93802317620489,% of load,12.191780821917808,-38.49368986255662,-44.5581682632045,-44.41303122679231,,,
Clean Spark,2026-09-15,0,False,False,41.63967559814454,EUR/MWh,92.99014238773275,,,,-37.20915789473684,77.47138897335654,47.86941298421223
Clean Dark,2025-12-31,258,True,False,27.94567483372639,EUR/MWh,46.90885914595284,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,263,True,True,96.0,USD/t,7.428040854224697,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
