metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-05-20,1,False,False,49.42499923706055,EUR/MWh,65.8711217183771,-4.614409772503702,9.568385180732442,17.872217511708556,,,
EU Storage,2026-05-19,2,False,False,36.82,% full,13.832695462001093,0.4090537223888635,2.2137532926077563,14.241390009308109,,,
EUA Carbon,2026-05-20,1,False,False,32.0,EUR/tCO2,30.039840637450197,0.7778784322198584,0.8498539935349436,3.092780464424627,,,
DE Power,2026-05-21,0,False,False,143.41,EUR/MWh,77.39463601532567,32.02998789591456,22.92434458380992,99.0106824325301,,,
GB Power,2026-05-21,0,False,False,112.9719142305851,EUR/MWh,81.4207650273224,-12.60028461424929,-3.4762858696388177,76.28782716186988,,,
Renewables,2026-05-20,1,False,False,44.451001465259985,% of load,57.397260273972606,36.458295860465654,-11.587164157295893,-24.115661617909122,,,
Clean Spark,2026-05-21,0,False,False,32.78400152587891,EUR/MWh,90.20251778872469,,,,34.79073684210526,20.668955938158533,64.2959023844401
Clean Dark,2025-12-31,141,True,False,27.94567483372639,EUR/MWh,49.644128113879006,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,146,True,True,96.0,USD/t,7.605877268798617,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
