metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-09-09,1,False,False,79.24600219726562,EUR/MWh,77.14968152866241,4.489654178929459,8.682132481757844,30.343106285918076,,,
EU Storage,2026-09-08,2,False,False,67.33,% full,49.535265172225266,0.3128724672228689,1.9114688128772706,9.301948051948038,,,
EUA Carbon,2026-09-09,1,False,False,34.9900016784668,EUR/tCO2,51.8341307814992,0.20046825083668285,0.7639938361712062,2.2800427210422525,,,
DE Power,2026-09-10,0,False,False,172.77,EUR/MWh,83.68910782703887,20.75329414447886,26.843878721149306,16.561742320423377,,,
GB Power,2026-09-10,0,False,False,189.35304875214896,EUR/MWh,98.90710382513662,2.181276348306449,25.859053485172147,11.206202602315596,,,
Renewables,2026-09-09,1,False,False,55.487475641056314,% of load,74.24657534246575,753.1281762434339,-15.280579343483847,13.975308722237001,,,
Clean Spark,2026-09-10,0,False,False,1.4016749877929797,EUR/MWh,53.03776683087028,,,,29.693157894736856,35.67039213117633,-3.5113875732421604
Clean Dark,2025-12-31,253,True,False,27.94567483372639,EUR/MWh,46.82337992376112,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,258,True,True,96.0,USD/t,7.4074074074074066,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
