metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-05-06,1,False,False,43.902000427246094,EUR/MWh,57.04057279236277,-6.444185195972906,2.795276560112181,-17.55028627243472,,,
EU Storage,2026-05-06,1,False,False,34.26,% full,10.655737704918032,0.029197080291964994,4.504892608775912,15.939086294416228,,,
EUA Carbon,2026-05-06,1,False,False,32.0099983215332,EUR/tCO2,29.482071713147413,-0.6825976538250345,2.168612310747098,8.508468886553233,,,
DE Power,2026-05-07,0,False,False,132.57,EUR/MWh,74.32950191570882,8.321213210661348,122.67362902921298,19.774581292656592,,,
GB Power,2026-05-07,0,False,False,111.77679570515951,EUR/MWh,83.87978142076503,-8.29167740812502,20.129445391893963,3.300574635674547,,,
Renewables,2026-05-06,1,False,False,40.30230416567827,% of load,47.671232876712324,57.32033692146168,-20.766321794917864,39.96088637884401,,,
Clean Spark,2026-05-07,0,False,False,32.98631976318359,EUR/MWh,90.311986863711,,,,10.183999999999997,64.50755805664062,18.553932973225916
Clean Dark,2025-12-31,127,True,False,27.94567483372639,EUR/MWh,50.05882352941177,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,132,True,True,96.0,USD/t,8.397600685518423,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
