metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-05-07,1,False,False,43.724998474121094,EUR/MWh,56.88146380270486,-0.403175143279233,1.1157762746197175,-3.4789524718567,,,
EU Storage,2026-05-06,2,False,False,34.26,% full,10.60688901038819,0.029197080291964994,4.504892608775912,15.939086294416228,,,
EUA Carbon,2026-05-07,1,False,False,31.540000915527344,EUR/tCO2,26.13545816733068,-1.4682831323039824,1.75057485503749,6.1952865499044,,,
DE Power,2026-05-08,0,False,False,138.0,EUR/MWh,75.64313081554461,1.4227813669872358,93.56930512288386,31.869181949211267,,,
GB Power,2026-05-08,0,False,False,126.88270616531372,EUR/MWh,93.16939890710383,-7.874620489373719,22.66997015691812,40.002915586058904,,,
Renewables,2026-05-07,1,False,False,27.07475405546434,% of load,17.80821917808219,-32.82082844652492,-41.23762571430812,-15.02972245874441,,,
Clean Spark,2026-05-08,0,False,False,38.94328271484375,EUR/MWh,92.38356164383562,,,,1.9358947368421013,78.76506693072403,23.402038258870448
Clean Dark,2025-12-31,128,True,False,27.94567483372639,EUR/MWh,49.97053624042428,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,133,True,True,96.0,USD/t,8.319039451114923,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
