metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct
TTF Gas,2026-05-29,3,False,False,46.000999450683594,EUR/MWh,59.58631662688943,-1.9607466923532657,-6.20394793039919,-1.8184559762056351
EU Storage,2026-05-30,2,False,False,40.09,% full,16.566429743028976,0.8807247106190186,4.239124689465612,14.412100456621024
EUA Carbon,2026-05-29,3,False,False,33.599998474121094,EUR/tCO2,40.398406374501995,-0.44444896556713465,3.9006125297327054,9.055498398378091
GB Power,2026-06-01,0,False,False,125.90052743673324,EUR/MWh,90.7103825136612,5.820530935856394,-6.857428724891945,5.528195258740176
Coal,2026-05-29,3,False,True,10.797499656677246,USD/t,33.80952380952381,0.06950597637380707,0.0,-1.1217987066010515
