metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-07-29,1,False,False,60.41999816894531,EUR/MWh,72.45222929936305,4.646931222468531,2.9888571437755695,41.94760981627883,,,
EU Storage,2026-07-28,2,False,False,56.15,% full,30.945872061235647,0.3574620196604039,2.2595341318245143,10.249361869232288,,,
EUA Carbon,2026-07-29,1,False,False,33.439998626708984,EUR/tCO2,41.38755980861244,-0.11947704920629576,-0.5715998875866934,0.9966717314231932,,,
DE Power,2026-07-30,0,False,False,162.16,EUR/MWh,81.77339901477832,28.31379290814169,3.604009116255713,30.549920541408593,,,
GB Power,2026-07-30,0,False,False,143.46666625142097,EUR/MWh,95.90163934426229,-4.319825936425503,-12.190935662672898,2.6367885753701747,,,
Renewables,2026-07-29,1,False,False,48.87040086432243,% of load,63.287671232876704,-2.5513937721893365,0.318481251846392,-29.035249694401998,,,
Clean Spark,2026-07-30,0,False,False,29.014084167480465,EUR/MWh,87.35632183908046,,,,35.782315789473685,8.558799350243284,17.23370554606118
Clean Dark,2025-12-31,211,True,False,27.94567483372639,EUR/MWh,47.71039603960396,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,216,True,True,96.0,USD/t,7.21370604147881,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
