metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-08-27,1,False,False,68.09500122070312,EUR/MWh,73.88535031847134,3.7622311137142095,6.019276334503232,12.702752870493494,,,
EU Storage,2026-08-27,1,False,False,64.08,% full,44.31693989071038,0.42313117066290484,2.3451341687336758,9.91423670668954,,,
EUA Carbon,2026-08-27,1,False,False,34.41999816894531,EUR/tCO2,49.52153110047847,-0.28969376446189576,0.701988797937414,2.930620761011604,,,
DE Power,2026-08-28,0,False,False,141.01,EUR/MWh,75.64313081554461,12.601760985143006,5.014078446247905,15.50928078898437,,,
GB Power,2026-08-28,0,False,False,168.02884940862657,EUR/MWh,97.54098360655738,-11.708012581998728,13.28697895777664,31.706426989151424,,,
Renewables,2026-08-27,1,False,False,76.00157234026112,% of load,95.34246575342465,31.94962980247602,35.02823257565948,19.465039908354242,,,
Clean Spark,2026-08-28,0,False,False,-7.846561767578134,EUR/MWh,42.24657534246575,,,,15.781052631578945,6.022884197194938,-6.131974995931007
Clean Dark,2025-12-31,240,True,False,27.94567483372639,EUR/MWh,46.75078864353313,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,245,True,True,96.0,USD/t,7.352941176470589,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
