metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-09-24,1,False,False,75.10600280761719,EUR/MWh,75.07961783439491,4.299403665520818,-5.8762547231324564,12.792103230336282,,,
EU Storage,2026-09-23,2,False,False,70.35,% full,54.23728813559322,0.15660592255124506,1.7220350795678963,6.866170439009567,,,
EUA Carbon,2026-09-24,1,False,False,34.0,EUR/tCO2,47.208931419457734,1.0401142890050785,-0.9308662331985795,-2.9957182879202904,,,
DE Power,2026-09-25,0,False,False,196.99,EUR/MWh,87.08264915161466,42.47761469021442,64.3986746010465,121.45241845296302,,,
GB Power,2026-09-25,0,False,False,174.7316452439626,EUR/MWh,95.62841530054644,-9.156570698924405,93.37938874532206,79.65481645553689,,,
Renewables,2026-09-24,1,False,False,63.92459741841173,% of load,85.47945205479452,86.31389322794543,6.474559089550946,-3.8567494743053654,,,
Clean Spark,2026-09-25,0,False,False,34.265994384765634,EUR/MWh,90.19178082191782,,,,58.72968421052633,75.4713707181161,102.05219590250653
Clean Dark,2025-12-31,268,True,False,27.94567483372639,EUR/MWh,47.07771355170199,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,273,True,True,96.0,USD/t,7.483629560336763,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
