metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-05-26,1,False,False,47.47200012207031,EUR/MWh,62.738853503184714,-2.487518371008335,2.1218516072061933,5.820200302005718,,,
EU Storage,2026-05-25,2,False,False,38.52,% full,15.418261344997267,0.8113059408531909,3.1120558098975293,13.127753303964784,,,
EUA Carbon,2026-05-26,1,False,False,32.9900016784668,EUR/tCO2,36.36363636363637,2.190009329069187,0.9302902619857667,5.737182281269604,,,
DE Power,2026-05-27,0,False,False,140.12,EUR/MWh,76.40941434044882,44.026452204152,-21.32038034261067,14.435441883573175,,,
GB Power,2026-05-27,0,False,False,131.0855862446626,EUR/MWh,93.98907103825137,-6.922273650620792,1.1610155947446854,7.522648986289249,,,
Renewables,2026-05-26,1,False,False,50.108872727855235,% of load,68.63013698630137,-4.739854345963845,21.05020721174007,95.60034850350243,,,
Clean Spark,2026-05-27,0,False,False,33.035679138183596,EUR/MWh,90.311986863711,,,,42.8323157894737,-35.05484533664636,10.17477604166666
Clean Dark,2026-05-27,0,False,False,108.75514523799424,EUR/MWh,78.10618500273672,,,,42.83231578947371,-25.724332515026305,16.868339379772053
Coal,2026-05-26,1,False,True,10.795000076293945,USD/t,33.836378077839555,0.20886551930654473,-0.22220143561669792,-1.415522700192573,,,
