metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-06-22,1,False,False,41.887001037597656,EUR/MWh,50.398089171974526,3.3659952813088756,-14.864377267030648,-15.251387588916021,,,
EU Storage,2026-06-21,2,False,False,46.72,% full,21.65117550574084,0.6896551724137945,3.2692910564736444,15.443538423523595,,,
EUA Carbon,2026-06-22,1,False,False,33.869998931884766,EUR/tCO2,44.25837320574163,1.4679384304681076,2.953018538774632,5.843746662139893,,,
DE Power,2026-06-23,0,False,False,154.13,EUR/MWh,80.35030103995622,24.360567380464417,18.449305012108553,26.3144954754994,,,
GB Power,2026-06-23,0,False,False,113.33591408729554,EUR/MWh,76.50273224043715,-8.617779521896585,6.790110139207162,-14.187275172771042,,,
Renewables,2026-06-22,1,False,False,43.33376757510325,% of load,53.6986301369863,-10.885364286210486,-26.696066224555757,25.14040355741505,,,
Clean Spark,2026-06-23,0,False,False,57.89183831787109,EUR/MWh,96.16858237547893,,,,30.191999999999993,20.472976883951826,43.35412192789714
Clean Dark,2025-12-31,174,True,False,27.94567483372639,EUR/MWh,48.63883847549909,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,179,True,True,96.0,USD/t,7.048458149779736,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
