metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-07-23,1,False,False,61.89799880981445,EUR/MWh,72.92993630573248,-1.0217950201476755,14.581702002506791,47.32707883023699,,,
EU Storage,2026-07-22,2,False,False,54.61,% full,28.04811372334609,0.3675794890645179,2.2680101135891917,10.815746753246746,,,
EUA Carbon,2026-07-23,1,False,False,34.16999816894531,EUR/tCO2,47.04944178628389,-2.870955450451984,1.9278174848558205,2.643428144237503,,,
DE Power,2026-07-24,0,False,False,168.22,EUR/MWh,82.9775588396278,43.43670426507189,1.985755254179633,182.5203941855359,,,
GB Power,2026-07-24,0,False,False,155.30954003135363,EUR/MWh,98.36065573770492,5.782597740547413,18.435241969280746,22.968230937977975,,,
Renewables,2026-07-23,1,False,False,62.30633808218346,% of load,85.2054794520548,-2.782635822403756,28.634629680669033,-2.1796230200245015,,,
Clean Spark,2026-07-24,0,False,False,31.84944305419922,EUR/MWh,89.04109589041096,,,,50.94178947368421,-7.435847726279806,72.53971761067709
Clean Dark,2025-12-31,205,True,False,27.94567483372639,EUR/MWh,47.839506172839506,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,210,True,True,96.0,USD/t,7.187780772686433,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
