metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-07-17,3,False,False,57.39500045776367,EUR/MWh,71.97452229299363,4.764078885864698,13.535805890667007,37.41051754633753,,,
EU Storage,2026-07-18,2,False,False,53.67,% full,27.282668124658283,0.5621135469364935,2.425689203757875,11.003102378490182,,,
EUA Carbon,2026-07-17,3,False,False,33.150001525878906,EUR/tCO2,38.197767145135565,0.33293162016792,-0.07700947626930743,-1.2805249604784685,,,
DE Power,2026-07-20,0,False,False,167.33,EUR/MWh,82.70388615216201,138.45586128582724,12.947081748938615,19.287114596328635,,,
GB Power,2026-07-20,0,False,False,145.33097617705664,EUR/MWh,97.81420765027322,59.788190637233555,5.803723762537438,13.071045531471292,,,
Renewables,2026-07-19,1,False,False,68.65723431773203,% of load,92.05479452054794,-0.747824866233604,-0.3498824151942581,26.725274013366086,,,
Clean Spark,2026-07-20,0,False,False,40.34079852294923,EUR/MWh,92.50136836343734,,,,97.15768421052633,5.265057346330608,-2.619723999023435
Clean Dark,2025-12-31,201,True,False,27.94567483372639,EUR/MWh,48.031980319803196,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,206,True,True,96.0,USD/t,7.162041181736795,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
