metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-05-08,3,False,False,44.143001556396484,EUR/MWh,57.3587907716786,1.3360591387091336,-0.075380486816079,-4.400644752005023,,,
EU Storage,2026-05-09,2,False,False,35.05,% full,11.80973209404046,0.8923431203223808,3.4171154997007624,16.05960264900661,,,
EUA Carbon,2026-05-08,3,False,False,31.260000228881836,EUR/tCO2,23.426294820717132,-0.8877637238991376,1.2617087480952582,3.134281688150198,,,
DE Power,2026-05-11,0,False,False,125.16,EUR/MWh,71.31910235358512,63.61144517801562,4.606324381890214,28.096478331927834,,,
GB Power,2026-05-11,0,False,False,103.89755189895631,EUR/MWh,73.224043715847,30.438035010431296,-9.80173939666158,-5.975082806980458,,,
Renewables,2026-05-10,1,False,False,48.77268763145571,% of load,65.89041095890411,5.432332887593616,-16.490658806209158,16.98457243241023,,,
Clean Spark,2026-05-11,0,False,False,25.370316802978515,EUR/MWh,85.11220580186098,,,,48.66168421052632,9.104684538509968,19.77247215779622
Clean Dark,2025-12-31,131,True,False,27.94567483372639,EUR/MWh,49.94103773584906,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,136,True,True,96.0,USD/t,8.240343347639485,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
