metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-06-08,1,False,False,49.82600021362305,EUR/MWh,66.26889419252187,2.7424980934772414,3.242090834514544,14.382129131891697,,,
EU Storage,2026-06-07,2,False,False,42.48,% full,18.480043739748496,0.8307619273676625,3.503216229589312,16.19256017505468,,,
EUA Carbon,2026-06-08,1,False,False,32.52000045776367,EUR/tCO2,34.02390438247012,0.030766338809207205,-1.3491088836699028,3.1071639625535497,,,
DE Power,2026-06-09,0,False,False,142.87,EUR/MWh,77.06622879036672,15.257074145846051,-5.586815404708534,11.513913709471545,,,
GB Power,2026-06-09,0,False,False,121.7826785182953,EUR/MWh,86.6120218579235,-1.2640072918342016,-6.960281572249372,9.780798772828314,,,
Renewables,2026-06-08,1,False,False,39.89944802703008,% of load,45.20547945205479,-43.27511687988266,26.134898584512854,20.90176046541736,,,
Clean Spark,2026-06-09,0,False,False,31.25063940429688,EUR/MWh,89.21729611384784,,,,18.912315789473695,-7.519335801937713,18.449205617268895
Clean Dark,2026-06-09,0,False,False,111.83111991533626,EUR/MWh,79.03667214012042,,,,18.91231578947368,-5.232984617314614,14.015536067800795
Coal,2026-06-08,1,False,True,10.925000190734863,USD/t,35.55555555555556,0.1145457853670484,0.5972779508572446,-0.18272731518497176,,,
