metric,as_of,days_old,is_stale,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-05-04,1,False,48.143001556396484,EUR/MWh,64.75735879077168,5.193818066458711,4.946559807311246,-3.7986516076932375,,,
EU Storage,2026-05-04,1,False,34.07,% full,10.491803278688524,0.828647528854698,4.49627915702584,15.413279132791335,,,
Coal,2025-12-26,130,True,96.0,USD/t,8.554319931565441,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
EUA Carbon,2026-05-04,1,False,31.8700008392334,EUR/tCO2,28.68525896414343,0.8225252257562099,1.2163711199042027,8.32767082456134,,,
DE Power,2026-05-05,0,False,143.42,EUR/MWh,77.39463601532567,9.390819132494332,31.307895663566086,3.8617602529798845,,,
Clean Spark,2026-05-05,0,False,35.405836578369126,EUR/MWh,91.29720853858785,,,,12.31210526315789,16.165520459412697,-4.60096394856771
Clean Dark,2025-12-31,125,True,27.94567483372639,EUR/MWh,50.11750881316098,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Switch TTF,2026-01-05,120,True,23.276767138761922,EUR/MWh,17.613168724279834,0.11154496647380885,-0.2786729939578181,-0.8807194273404595,,,
