date,value
2021-05-05,19.78371763304227
2021-05-06,20.116870421116552
2021-05-07,20.407826739968627
2021-05-10,20.624248205262475
2021-05-11,20.905623460686193
2021-05-12,21.252330036962107
2021-05-13,21.256264110890783
2021-05-14,21.576765458425207
2021-05-17,21.267195162140393
2021-05-18,20.910651982190004
2021-05-19,20.26263272048505
2021-05-20,20.85103452749857
2021-05-21,20.721541761070398
2021-05-24,20.926715195597005
2021-05-25,21.049170706748313
2021-05-26,20.985224871112976
2021-05-27,20.860275428802478
2021-05-28,20.939653915948952
2021-05-31,20.942892375819376
2021-06-01,22.338529326839698
2021-06-02,22.339212548773176
2021-06-03,22.834909109570766
2021-06-04,23.058426216183555
2021-06-07,23.9743410914202
2021-06-08,23.956307164385166
2021-06-09,24.475814510905764
2021-06-10,24.663343944588355
2021-06-11,24.61349241306452
2021-06-14,24.552987967321087
2021-06-15,24.310173954673836
2021-06-16,24.163697544334617
2021-06-17,24.195763604007553
2021-06-18,24.472801508941266
2021-06-21,24.56068226028075
2021-06-22,24.701178223531983
2021-06-23,24.795640246757934
2021-06-24,24.93389599868895
2021-06-25,25.00533107169537
2021-06-28,25.572869847567816
2021-06-29,26.054370425747155
2021-06-30,27.08852085891698
2021-07-01,27.553385122129786
2021-07-02,27.761576903207036
2021-07-05,27.74585709025599
2021-07-06,27.134130297841892
2021-07-07,27.467801540271147
2021-07-08,27.623358068941876
2021-07-09,27.878699186838467
2021-07-12,27.564917912758986
2021-07-13,28.382136570436586
2021-07-14,28.513193763478796
2021-07-15,28.527490622961547
2021-07-16,28.7017187683143
2021-07-19,28.61509441308397
2021-07-20,28.39410347137561
2021-07-21,28.58420116943055
2021-07-22,28.24175944130289
2021-07-23,28.424759894138575
2021-07-26,28.688294480923897
2021-07-27,28.641841766118144
2021-07-28,28.751679784252012
2021-07-29,28.68513419624569
2021-07-30,28.553250980783837
2021-08-02,29.820266760941564
2021-08-03,29.87337275889768
2021-08-04,30.149258742649852
2021-08-05,30.378952413523393
2021-08-06,30.733908705398257
2021-08-09,31.031172092032204
2021-08-10,31.304114873330946
2021-08-11,31.775876163894587
2021-08-12,31.63840288818574
2021-08-13,31.676630460082016
2021-08-16,32.26840938164951
2021-08-17,31.845546953433733
2021-08-18,31.954276479228263
2021-08-19,30.67824628169091
2021-08-20,31.09560878183231
2021-08-23,31.46879726721996
2021-08-24,31.655391665354063
2021-08-25,31.635650852384494
2021-08-26,31.73270254279101
2021-08-27,32.168704558301826
2021-08-30,32.26491261342041
2021-08-31,33.07724430185168
2021-09-01,33.478889093761666
2021-09-02,34.20932235506471
2021-09-03,34.687763555047475
2021-09-06,34.66792996631639
2021-09-07,35.272028908807854
2021-09-08,35.368682689815294
2021-09-09,35.4973439500652
2021-09-10,35.51796270529412
2021-09-13,35.7126447491307
2021-09-14,35.45741942639924
2021-09-15,35.25603859051468
2021-09-16,34.84935718553815
2021-09-17,35.2297385996945
2021-09-20,35.74073244433488
2021-09-21,35.71160506398586
2021-09-22,35.89830123315682
2021-09-23,36.06416869117934
2021-09-24,36.473177887864686
2021-09-27,40.990556351493154
2021-09-28,40.7487400291079
2021-09-29,42.12152942676856
2021-09-30,43.57840066376346
2021-10-01,46.30443808006182
2021-10-04,48.28235538836786
2021-10-05,52.60136508109426
2021-10-06,46.402273007988306
2021-10-07,46.54535815872932
2021-10-08,45.06477699617932
2021-10-11,46.79578149694872
2021-10-12,47.360742357211635
2021-10-13,47.71440168482299
2021-10-14,47.641838086837346
2021-10-15,46.743882538610016
2021-10-18,46.385176666817465
2021-10-19,45.86998075204896
2021-10-20,45.44543374332068
2021-10-21,44.897208703167415
2021-10-22,45.38431346423856
2021-10-25,46.026228176502904
2021-10-26,46.12250145139548
2021-10-27,45.93860479289882
2021-10-28,46.11334675471754
2021-10-29,45.31569792736221
2021-11-01,31.25057707476723
2021-11-02,31.685546272741938
2021-11-03,33.2328530204336
2021-11-04,32.885840328532595
2021-11-05,32.985863677459434
2021-11-08,34.695487894341134
2021-11-09,33.734876993665864
2021-11-10,32.565167362013874
2021-11-11,32.742202280044495
2021-11-12,32.48495403605346
2021-11-15,32.88081574076786
2021-11-16,33.42740091223049
2021-11-17,33.53729353575255
2021-11-18,34.18010034366024
2021-11-19,34.23361702232526
2021-11-22,34.53382801295443
2021-11-23,35.098137207968286
2021-11-24,34.9580834220847
2021-11-25,35.047204684456375
2021-11-26,34.435294051951814
2021-11-29,30.76412320411451
2021-11-30,29.25260934044651
2021-12-01,31.465355589031034
2021-12-02,31.320071029014443
2021-12-03,30.717431683531277
2021-12-06,31.389195648816802
2021-12-07,32.97777513597718
2021-12-08,34.558526137154516
2021-12-09,33.42876597090283
2021-12-10,33.95550679675274
2021-12-13,33.819365513938365
2021-12-14,34.2599637190611
2021-12-15,34.589927829593634
2021-12-16,35.87719462869185
2021-12-17,34.39485339353509
2021-12-20,35.65758969081556
2021-12-21,35.25847139469209
2021-12-22,35.19352818644806
2021-12-23,34.21271102810512
2021-12-24,34.21579626751489
2021-12-27,34.44368404358501
2021-12-28,34.5868345844335
2021-12-29,34.10834179357556
2021-12-30,33.935392363553234
