metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-06-03,1,False,False,48.86399841308594,EUR/MWh,65.15513126491646,2.6403680353246806,-1.2087768078362648,1.4976150912502817,,,
EU Storage,2026-06-02,2,False,False,41.03,% full,17.331875341716785,0.6624141315014764,4.1162227602905554,14.897787734528144,,,
EUA Carbon,2026-06-03,1,False,False,33.29600143432617,EUR/tCO2,38.56573705179283,-0.13196976022900042,3.1189522737714803,4.474429110580069,,,
DE Power,2026-06-04,0,False,False,100.55,EUR/MWh,52.43568691844553,-1.8665617416996683,14.974273138939086,6.008557296105277,,,
GB Power,2026-06-04,0,False,False,48.232917984326676,EUR/MWh,6.557377049180328,-57.23765739160183,-9.441407248375178,-58.57528606059862,,,
Renewables,2026-06-03,1,False,False,53.18230816097377,% of load,73.56164383561644,26.615629401625696,-10.353969906564686,4.789552204044645,,,
Clean Spark,2026-06-04,0,False,False,-9.430925354003909,EUR/MWh,39.84674329501915,,,,-1.9125263157894778,13.066849010106145,2.796878702799468
Clean Dark,2025-12-31,155,True,False,27.94567483372639,EUR/MWh,49.22248803827751,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,160,True,True,96.0,USD/t,6.968641114982578,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
