date,value
2021-07-01,89.39
2021-07-02,96.58375000000001
2021-07-03,83.60416666666667
2021-07-04,82.96375
2021-07-05,93.84500000000001
2021-07-06,80.67583333333333
2021-07-07,99.10583333333334
2021-07-08,109.04208333333334
2021-07-09,91.42333333333333
2021-07-10,80.44958333333334
2021-07-11,77.74
2021-07-12,93.45125
2021-07-13,95.015
2021-07-14,87.38916666666667
2021-07-15,89.73583333333333
2021-07-16,84.96458333333334
2021-07-17,61.69
2021-07-18,45.781666666666666
2021-07-19,89.20958333333334
2021-07-20,91.69375000000001
2021-07-21,89.98541666666667
2021-07-22,87.56166666666667
2021-07-23,88.80083333333333
2021-07-24,75.76375
2021-07-25,60.706250000000004
2021-07-26,88.50291666666668
2021-07-27,87.22375
2021-07-28,79.42208333333333
2021-07-29,46.09708333333333
2021-07-30,64.80583333333333
2021-07-31,29.822916666666668
2021-08-01,58.53541666666666
2021-08-02,80.09708333333333
2021-08-03,96.51041666666667
2021-08-04,98.16916666666667
2021-08-05,94.50958333333334
2021-08-06,71.5975
2021-08-07,61.51499999999999
2021-08-08,5.630833333333334
2021-08-09,67.58916666666667
2021-08-10,90.76791666666666
2021-08-11,100.76208333333334
2021-08-12,106.5425
2021-08-13,94.90458333333333
2021-08-14,63.36875
2021-08-15,61.944583333333334
2021-08-16,67.60041666666667
2021-08-17,57.39208333333334
2021-08-18,78.64333333333333
2021-08-19,91.62333333333333
2021-08-20,102.18
2021-08-21,91.46291666666667
2021-08-22,78.05458333333333
2021-08-23,93.87916666666666
2021-08-24,95.39958333333334
2021-08-25,84.30958333333334
2021-08-26,92.615
2021-08-27,95.90750000000001
2021-08-28,84.71958333333333
2021-08-29,80.74249999999999
2021-08-30,106.57499999999999
2021-08-31,110.05416666666667
2021-09-01,111.85916666666667
2021-09-02,118.19458333333334
2021-09-03,110.52541666666667
2021-09-04,106.87583333333333
2021-09-05,97.62916666666666
2021-09-06,127.82375
2021-09-07,127.9825
2021-09-08,124.77916666666668
2021-09-09,130.23333333333332
2021-09-10,138.28625
2021-09-11,129.01791666666665
2021-09-12,105.22250000000001
2021-09-13,141.31916666666666
2021-09-14,143.23833333333334
2021-09-15,168.21166666666667
2021-09-16,158.94291666666666
2021-09-17,156.95916666666668
2021-09-18,133.76291666666665
2021-09-19,94.10333333333334
2021-09-20,150.69875
2021-09-21,149.89208333333332
2021-09-22,145.97666666666666
2021-09-23,73.15958333333333
2021-09-24,108.98083333333334
2021-09-25,127.58749999999999
2021-09-26,125.71750000000002
2021-09-27,143.21833333333333
2021-09-28,155.08625
2021-09-29,133.31375
2021-09-30,112.57083333333333
2021-10-01,100.32666666666667
2021-10-02,104.05583333333334
2021-10-03,40.962916666666665
2021-10-04,158.12083333333334
2021-10-05,159.72875
2021-10-06,184.12375
2021-10-07,302.52625
2021-10-08,203.89291666666668
2021-10-09,139.49166666666667
2021-10-10,144.33666666666667
2021-10-11,167.84083333333334
2021-10-12,167.43166666666667
2021-10-13,188.24291666666667
2021-10-14,167.80916666666667
2021-10-15,116.65166666666666
2021-10-16,156.77666666666667
2021-10-17,142.15583333333333
2021-10-18,189.72166666666666
2021-10-19,153.455
2021-10-20,60.11041666666667
2021-10-21,61.50333333333333
2021-10-22,71.87416666666667
2021-10-23,139.37708333333333
2021-10-24,99.41125
2021-10-25,173.64958333333334
2021-10-26,178.015
2021-10-27,143.83666666666667
2021-10-28,153.53958333333333
2021-10-29,112.97333333333334
2021-10-30,84.15333333333334
2021-10-31,61.446400000000004
2021-11-01,95.48625
2021-11-02,204.10875
2021-11-03,193.13791666666668
2021-11-04,172.11083333333332
2021-11-05,160.08833333333334
2021-11-06,76.75666666666667
2021-11-07,35.4075
2021-11-08,177.41333333333333
2021-11-09,163.13625
2021-11-10,176.25958333333332
2021-11-11,190.42666666666665
2021-11-12,166.89625
2021-11-13,156.8975
2021-11-14,169.29541666666668
2021-11-15,227.95791666666665
2021-11-16,237.465
2021-11-17,180.59916666666666
2021-11-18,139.90375
2021-11-19,131.63375
2021-11-20,110.21749999999999
2021-11-21,144.83541666666667
2021-11-22,233.16625
2021-11-23,241.87041666666667
2021-11-24,273.885
2021-11-25,243.34625000000003
2021-11-26,188.37541666666667
2021-11-27,202.8970833333333
2021-11-28,201.16583333333332
2021-11-29,265.96166666666664
2021-11-30,123.83916666666666
2021-12-01,91.00416666666666
2021-12-02,195.04083333333332
2021-12-03,149.97125
2021-12-04,196.26375
2021-12-05,157.71125
2021-12-06,265.3925
2021-12-07,216.18541666666667
2021-12-08,184.05999999999997
2021-12-09,277.88375
2021-12-10,239.78041666666664
2021-12-11,237.34833333333333
2021-12-12,183.12125
2021-12-13,264.66249999999997
2021-12-14,295.8179166666667
2021-12-15,295.2004166666666
2021-12-16,344.3029166666667
2021-12-17,338.14
2021-12-18,259.5133333333333
2021-12-19,119.67333333333333
2021-12-20,331.3704166666667
2021-12-21,431.97499999999997
2021-12-22,416.7225
2021-12-23,300.72583333333336
2021-12-24,196.20875
2021-12-25,198.29250000000002
2021-12-26,172.45666666666668
2021-12-27,148.82791666666665
2021-12-28,104.22583333333334
2021-12-29,155.60333333333332
2021-12-30,73.26208333333334
2021-12-31,12.127916666666666
2022-01-01,82.57833333333333
2022-01-02,47.35375
2022-01-03,76.10708333333334
2022-01-04,153.91666666666666
2022-01-05,107.86833333333334
2022-01-06,194.0975
2022-01-07,167.18083333333334
2022-01-08,165.8975
2022-01-09,146.55916666666667
2022-01-10,261.54833333333335
2022-01-11,255.41
2022-01-12,233.31541666666666
2022-01-13,180.15625
2022-01-14,178.76208333333332
2022-01-15,215.995
2022-01-16,133.09541666666667
2022-01-17,129.31458333333333
2022-01-18,235.87
2022-01-19,172.1795833333333
2022-01-20,117.69541666666667
2022-01-21,159.26958333333332
2022-01-22,175.75750000000002
2022-01-23,193.69500000000002
2022-01-24,245.9375
2022-01-25,297.28833333333336
2022-01-26,234.98125000000002
2022-01-27,120.71333333333332
2022-01-28,174.3479166666667
2022-01-29,92.12916666666666
2022-01-30,55.30041666666667
2022-01-31,195.2025
2022-02-01,150.24708333333334
2022-02-02,140.22083333333333
2022-02-03,193.55791666666667
2022-02-04,132.36833333333334
2022-02-05,88.89458333333333
2022-02-06,52.784166666666664
2022-02-07,84.67583333333333
2022-02-08,137.80791666666667
2022-02-09,165.89166666666668
2022-02-10,192.81958333333333
2022-02-11,184.58041666666668
2022-02-12,143.05041666666668
2022-02-13,83.57791666666667
2022-02-14,102.22333333333334
2022-02-15,155.00416666666666
2022-02-16,117.37791666666668
2022-02-17,68.63708333333334
2022-02-18,117.62708333333335
2022-02-19,39.615833333333335
2022-02-20,67.28125
2022-02-21,75.41625
2022-02-22,123.24291666666666
2022-02-23,130.08875
2022-02-24,123.3875
2022-02-25,119.9575
2022-02-26,225.43416666666667
2022-02-27,182.40833333333333
2022-02-28,208.29625
2022-03-01,241.40125
2022-03-02,278.77625
2022-03-03,338.19958333333335
2022-03-04,358.7775
2022-03-05,344.4025
2022-03-06,340.79791666666665
2022-03-07,410.09999999999997
2022-03-08,487.5733333333333
2022-03-09,446.25458333333336
2022-03-10,279.1504166666667
2022-03-11,80.43916666666667
2022-03-12,124.25
2022-03-13,115.09791666666666
2022-03-14,281.44
2022-03-15,300.53749999999997
2022-03-16,245.29666666666665
2022-03-17,225.40958333333333
2022-03-18,228.9
2022-03-19,130.95208333333332
2022-03-20,49.04291666666666
2022-03-21,205.75458333333333
2022-03-22,236.48833333333334
2022-03-23,236.53375000000003
2022-03-24,237.99833333333333
2022-03-25,244.37875
2022-03-26,189.5525
2022-03-27,200.59391304347827
2022-03-28,221.57083333333333
2022-03-29,250.18291666666667
