metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-09-23,1,False,False,72.01000213623047,EUR/MWh,73.88535031847134,-1.813463687034611,-6.899158067997191,5.401057461781278,,,
EU Storage,2026-09-22,2,False,False,70.24,% full,54.07326407873154,0.14257199885940874,1.7183631862531135,7.040536421822607,,,
EUA Carbon,2026-09-23,1,False,False,33.650001525878906,EUR/tCO2,43.415802075019954,-1.780492777405951,-1.8474910693184854,-2.7175444422155026,,,
DE Power,2026-09-24,0,False,False,124.78,EUR/MWh,69.12972085385879,-30.88302689440363,-2.788651694846034,-6.615703281463048,,,
GB Power,2026-09-24,0,False,False,163.23910996317863,EUR/MWh,93.16939890710383,-7.8331061862337625,31.910659376956318,16.435988131577606,,,
Renewables,2026-09-23,1,False,False,34.310161368483286,% of load,29.178082191780824,13.309536530560905,45.55304453521343,-19.512956145874515,,,
Clean Spark,2026-09-24,0,False,False,-31.623204833984374,EUR/MWh,24.63054187192118,,,,-55.75452631578946,5.69695275664747,-8.837313741048188
Clean Dark,2025-12-31,267,True,False,27.94567483372639,EUR/MWh,47.05128205128205,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,272,True,True,96.0,USD/t,7.476635514018691,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
