metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct
TTF Gas,2026-09-17,1,False,False,76.35199737548828,EUR/MWh,75.79617834394905,-2.150456785927579,4.104004340447953,19.9635444259155
EUA Carbon,2026-09-17,1,False,False,34.38999938964844,EUR/tCO2,49.68102073365232,1.1173216314881218,-1.2168854643606841,0.2623911212529917
GB Power,2026-09-18,0,False,False,141.7783484538396,EUR/MWh,86.6120218579235,21.763423972799313,-7.4637314861305315,-10.654944524458433
Coal,2025-12-26,266,True,True,96.0,USD/t,7.4487895716946,-0.5696561723182669,0.08297926010716328,-0.10405668648165722
