metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-08-13,1,False,False,60.400001525878906,EUR/MWh,72.21337579617835,-1.017679788105852,5.6393625977573025,11.125422357018678,,,
EU Storage,2026-08-12,2,False,False,59.92,% full,36.686714051394205,0.43580288300368863,2.18244406196213,9.723493865592392,,,
EUA Carbon,2026-08-13,1,False,False,34.36000061035156,EUR/tCO2,49.00079936051159,0.8304749503558639,1.244464171450721,2.9698257201528744,,,
DE Power,2026-08-14,0,False,False,168.41,EUR/MWh,82.9775588396278,14.654362490656837,29.737893612953272,29.017471674564344,,,
GB Power,2026-08-14,0,False,False,167.4946540649732,EUR/MWh,99.4535519125683,0.8011297664417549,39.59827270844176,18.93120018400145,,,
Renewables,2026-08-13,1,False,False,55.148087604824916,% of load,74.79452054794521,19.110729477430244,1.904281142081432,-11.488799851977582,,,
Clean Spark,2026-08-14,0,False,False,34.96551672363281,EUR/MWh,90.46575342465754,,,,21.525052631578944,24.600628572805302,44.058010477701835
Clean Dark,2025-12-31,226,True,False,27.94567483372639,EUR/MWh,47.217010631644776,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,231,True,True,96.0,USD/t,7.285974499089254,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
