metric,as_of,value,unit,daily_change_pct,weekly_change_pct,monthly_change_pct,percentile_5y
TTF Gas,2026-04-27,44.645999908447266,EUR/MWh,-0.47925849244415675,10.806115634218516,-19.145928650969278,58.711217183770884
Coal,2025-12-26,96.0,USD/t,-0.5696561723182669,-1.0309278350515427,-0.10405668648165722,8.943781942078365
EUA Carbon,2026-04-27,31.530000686645508,EUR/tCO2,1.057692037296487,0.670501257559053,7.7212169235972405,25.737051792828687
