metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-05-27,1,False,False,46.41299819946289,EUR/MWh,60.27070063694268,-2.2307927196753563,-2.190772391810003,3.9577975510439733,,,
EU Storage,2026-05-26,2,False,False,38.83,% full,15.636960087479496,0.8047767393561722,3.537326388888884,13.405373831775691,,,
EUA Carbon,2026-05-27,1,False,False,33.21900177001953,EUR/tCO2,37.719298245614034,0.6941499845457999,1.8543875976368085,5.35680636407152,,,
DE Power,2026-05-28,0,False,False,138.6,EUR/MWh,75.75259989053093,66.07784102590624,-12.061729242809404,1.891005662142975,,,
GB Power,2026-05-28,0,False,False,120.93956031799317,EUR/MWh,87.70491803278688,2.252573072465003,-0.4524806261277603,-12.49592945949357,,,
Renewables,2026-05-27,1,False,False,59.58151739372079,% of load,83.01369863013699,18.904126455432646,39.72166158857669,47.83650371151937,,,
Clean Spark,2026-05-28,0,False,False,33.549410949707024,EUR/MWh,90.47619047619048,,,,55.14515789473684,-5.185744515348739,-3.749575398763014
Clean Dark,2026-05-28,0,False,False,107.03726177855926,EUR/MWh,77.28516694033935,,,,55.14515789473684,-13.4905346776724,1.1565202386534281
Coal,2026-05-27,1,False,True,10.805000305175781,USD/t,33.915806195393166,0.09263759899174051,-0.12041976829091361,-1.121020073284773,,,
