date,value
2021-05-19,22.665000915527344
2021-05-20,24.684999465942383
2021-05-21,24.795000076293945
2021-05-24,24.760000228881836
2021-05-25,26.190000534057617
2021-05-26,26.424999237060547
2021-05-27,25.200000762939453
2021-05-28,24.93000030517578
2021-06-01,25.975000381469727
2021-06-02,25.725000381469727
2021-06-03,25.704999923706055
2021-06-04,25.795000076293945
2021-06-07,26.489999771118164
2021-06-08,27.799999237060547
2021-06-09,28.299999237060547
2021-06-10,28.684999465942383
2021-06-11,27.844999313354492
2021-06-14,28.809999465942383
2021-06-15,28.135000228881836
2021-06-16,28.030000686645508
2021-06-17,28.309999465942383
2021-06-18,29.405000686645508
2021-06-21,29.614999771118164
2021-06-22,30.735000610351562
2021-06-23,31.545000076293945
2021-06-24,32.01499938964844
2021-06-25,32.3849983215332
2021-06-28,32.28900146484375
2021-06-29,33.486000061035156
2021-06-30,34.62200164794922
2021-07-01,36.143001556396484
2021-07-02,35.82699966430664
2021-07-06,34.10499954223633
2021-07-07,32.3380012512207
2021-07-08,33.3120002746582
2021-07-09,36.63199996948242
2021-07-12,34.64899826049805
2021-07-13,35.4630012512207
2021-07-14,34.775001525878906
2021-07-15,33.797000885009766
2021-07-16,34.84199905395508
2021-07-19,35.64899826049805
2021-07-20,35.165000915527344
2021-07-21,35.94900131225586
2021-07-22,36.12900161743164
2021-07-23,35.52299880981445
2021-07-26,36.91400146484375
2021-07-27,37.59000015258789
2021-07-28,39.698001861572266
2021-07-29,41.15399932861328
2021-07-30,40.75600051879883
2021-08-02,42.15299987792969
2021-08-03,41.24300003051758
2021-08-04,42.25299835205078
2021-08-05,42.89899826049805
2021-08-06,43.11800003051758
2021-08-09,42.7859992980957
2021-08-10,44.654998779296875
2021-08-11,45.986000061035156
2021-08-12,45.87099838256836
2021-08-13,44.62799835205078
2021-08-16,47.987998962402344
2021-08-17,46.94900131225586
2021-08-18,45.3849983215332
2021-08-19,40.39500045776367
2021-08-20,41.944000244140625
2021-08-23,41.68000030517578
2021-08-24,44.869998931884766
2021-08-25,45.28499984741211
2021-08-26,45.78799819946289
2021-08-27,47.805999755859375
2021-08-30,49.67900085449219
2021-08-31,50.3380012512207
2021-09-01,50.231998443603516
2021-09-02,51.91600036621094
2021-09-03,51.505001068115234
2021-09-07,53.90800094604492
2021-09-08,55.28799819946289
2021-09-09,56.58100128173828
2021-09-10,57.91600036621094
2021-09-13,61.27899932861328
2021-09-14,65.76399993896484
2021-09-15,70.70700073242188
2021-09-16,63.250999450683594
2021-09-17,65.10299682617188
2021-09-20,75.31700134277344
2021-09-21,73.78199768066406
2021-09-22,71.69200134277344
2021-09-23,69.68399810791016
2021-09-24,70.23999786376953
2021-09-27,76.50700378417969
2021-09-28,78.56500244140625
2021-09-29,86.60900115966797
2021-09-30,97.77400207519531
2021-10-01,93.625
2021-10-04,96.6520004272461
2021-10-05,116.0199966430664
2021-10-06,108.19100189208984
2021-10-07,96.58399963378906
2021-10-08,87.60600280761719
2021-10-11,85.21600341796875
2021-10-12,85.697998046875
2021-10-13,93.61599731445312
2021-10-14,102.1719970703125
2021-10-15,93.64800262451172
2021-10-18,93.93299865722656
2021-10-19,89.93199920654297
2021-10-20,93.45099639892578
2021-10-21,88.46299743652344
2021-10-22,87.33799743652344
2021-10-25,88.64299774169922
2021-10-26,88.49299621582031
2021-10-27,86.81900024414062
2021-10-28,77.03199768066406
2021-10-29,64.86399841308594
2021-11-01,65.61900329589844
2021-11-02,67.60600280761719
2021-11-03,76.54199981689453
2021-11-04,73.3759994506836
2021-11-05,74.0270004272461
2021-11-08,79.0739974975586
2021-11-09,72.58699798583984
2021-11-10,70.12300109863281
2021-11-11,74.79000091552734
2021-11-12,75.67500305175781
2021-11-15,79.9469985961914
2021-11-16,94.18900299072266
