metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-07-22,1,False,False,62.5369987487793,EUR/MWh,73.00955414012739,4.817056862794877,13.902789968738482,49.29929858823328,,,
EU Storage,2026-07-21,2,False,False,54.38,% full,27.99343903772553,0.2765996680804017,2.243614037747288,10.708469055374614,,,
EUA Carbon,2026-07-22,1,False,False,35.18000030517578,EUR/tCO2,50.0,3.227694879754206,1.1389345870429501,3.8677337307436277,,,
DE Power,2026-07-23,0,False,False,153.4,EUR/MWh,79.85769020251779,53.637248255991096,-16.012769247045878,109.25018116714269,,,
GB Power,2026-07-23,0,False,False,148.5359803676605,EUR/MWh,98.08743169398907,-8.954549190433148,1.4090752825862474,177.8517043229944,,,
Renewables,2026-07-22,1,False,False,64.08972163487432,% of load,87.12328767123287,29.812722252012325,44.902890336531144,121.80744286705693,,,
Clean Spark,2026-07-23,0,False,False,15.379762390136724,EUR/MWh,72.57799671592775,,,,53.55442105263158,-30.561093011795847,42.30326611328125
Clean Dark,2025-12-31,204,True,False,27.94567483372639,EUR/MWh,47.93592113370302,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,209,True,True,96.0,USD/t,7.1813285457809695,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
