metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-07-24,3,False,False,63.57500076293945,EUR/MWh,73.08917197452229,2.709299145967048,13.165561060944754,55.53136710367641,,,
EU Storage,2026-07-25,2,False,False,55.35,% full,28.70420995079278,0.5084437988015278,2.125916824900398,10.45699461185392,,,
EUA Carbon,2026-07-23,4,False,False,34.16999816894531,EUR/tCO2,47.08699122106943,-2.870955450451984,1.9278174848558205,2.643428144237503,,,
DE Power,2026-07-27,0,False,False,84.26,EUR/MWh,32.89545703338807,-5.9118488515055745,9.179325512606361,-14.740060775280073,,,
GB Power,2026-07-27,0,False,False,98.97095610698064,EUR/MWh,53.278688524590166,31.63215937614796,-20.248166317771776,20.822500319760074,,,
Renewables,2026-07-26,1,False,False,56.49865946561292,% of load,77.8082191780822,1.162242706177663,-1.015972238871532,-24.071679137125845,,,
Clean Spark,2026-07-27,0,False,False,-55.464560852050774,EUR/MWh,14.285714285714285,,,,-5.294315789473671,0.36521051303796526,-53.57662725830077
Clean Dark,2025-12-31,208,True,False,27.94567483372639,EUR/MWh,47.807288449660284,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,213,True,True,96.0,USD/t,7.194244604316546,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
