metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-08-05,1,False,False,52.40399932861328,EUR/MWh,67.99363057324841,-6.289233052886711,-6.227907880448457,12.51288021354311,,,
EU Storage,2026-08-04,2,False,False,57.87,% full,33.13285948605795,0.31201248049921304,2.1962766525468913,9.60227272727272,,,
EUA Carbon,2026-08-05,1,False,False,33.9900016784668,EUR/tCO2,46.96969696969697,0.2950790516948354,0.13631218091643138,1.0704745730528042,,,
DE Power,2026-08-06,0,False,False,171.83,EUR/MWh,83.47016967706622,56.25200413893579,5.023451585291494,7.486330999943314,,,
GB Power,2026-08-06,0,False,False,132.07181860923765,EUR/MWh,87.70491803278688,32.90984303552478,-4.851342347967913,-11.890341852152797,,,
Renewables,2026-08-05,1,False,False,56.450448009935066,% of load,77.12328767123287,12.740844961955155,0.47166115584342805,28.260186774862063,,,
Clean Spark,2026-08-06,0,False,False,54.51368072509767,EUR/MWh,95.6759715380405,,,,61.86021052631581,13.145329936566265,16.380213256835944
Clean Dark,2025-12-31,218,True,False,27.94567483372639,EUR/MWh,47.48290863890615,,,,-0.5608809408526625,11.626469375854722,8.668931087524932
Coal,2025-12-26,223,True,True,96.0,USD/t,7.246376811594203,-0.5696561723182669,0.08297926010716328,-0.10405668648165722,,,
