metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-06-02,1,False,False,47.606998443603516,EUR/MWh,62.92760540970564,-3.020985341973348,-4.364598279012077,4.022636127082779,,,
EU Storage,2026-06-01,2,False,False,40.76,% full,17.113176599234553,0.6916996047430901,4.1398296280905855,14.623172103487047,,,
EUA Carbon,2026-06-02,1,False,False,33.34000015258789,EUR/tCO2,38.72509960159363,-0.2990385114466587,4.010662260696463,5.4729500437586065,,,
DE Power,2026-06-03,0,False,False,119.1,EUR/MWh,67.5424192665572,-2.1429183023748966,16.349797982426594,4.892910811301743,,,
GB Power,2026-06-03,0,False,False,125.28481727917989,EUR/MWh,90.1639344262295,-4.964719351559543,5.245488316521962,-10.07464701743881,,,
Renewables,2026-06-02,1,False,False,42.00295683266645,% of load,50.0,21.29725299178624,-14.233495393085072,-35.53841166588075,,,
Clean Spark,2026-06-03,0,False,False,11.616883056640619,EUR/MWh,67.65188834154351,,,,-2.60810526315791,17.341724173562575,3.570744506835929
Clean Dark,2026-06-03,0,False,False,87.43479592324039,EUR/MWh,69.23918992884511,,,,-2.60810526315791,15.723710859008875,4.1040835766605
Coal,2026-06-02,1,False,True,10.802499771118164,USD/t,33.730158730158735,-0.04626522779426212,0.21805576877123034,-0.8944940442599414,,,
